sentence,label,id,index
"Have you seen all the big adventures of last few decades? If you have don't bother with this one as you've already seen most of the scenes already - and I can guarantee that those scenes were originally in much better movies.<br /><br />The story (I'm sure that true storytellers will never forgive me) is childish and stupid (stupid in a way that making it play in a mortuary would result in a bunch of angry walking dead). Every character is based in a cliché and... well, they'",0,0,3
"Bedrooms and Hallways gives its audience a look into the mind of a man who thinks he's found himself, only to find out that he's not so sure he found the right guy. If you think that all gay comedies are the same, check this one out. Although the movie ends without much resolution, the hilarious one-liners, peculiar situations, and quirky characters are sure to satisfy.",1,1,37
"""This is a wonderful look, you should pardon the pun, at 22 women talking about breasts-- theirs, their mothers', other women's, and how they affect so many aspects of their lives. Young girls, old women, and everyone in between (with all shapes, sizes, configurations, etc) talk about developing, reacting, celebrating, hiding, enhancing, or reducing their breasts.<br /><br />It's charming, delightful, sad, funny, and everything in between. Intercut with documentary footage an",1,2,38
"This movie was pathetically awful. The sound was terrible, the action was ridiculous and the effects were nauseating. If you have a life don't see this movie, cause you will want to kill yourself. This movie totally rips off Blade (which is undoubtedly a really good movie...or trilogy I should say).<br /><br />I don't care who the actors are, this movie is just horrible. I watched 10 minutes of it and had to come to my computer and comment on how absolutely just bad this movi",0,3,95
"almost 4 years after the events of 911, if asked what comes to mind about that day, most people would probably comment on things such as the sight of planes crashing into and the collapse of the twin towers, the scores of people being killed, acts of terrorism and heroism mixed together, etc. everyone who was alive at the time will never forget that day. yet for most of us the memories, although moving, are not on a personal level. now comes an extraordinary film which gives ",1,4,138
"""I picked this DVD up for 3.99 at rogers video in order to get enough points to get a better movie for free. I never actually was planning on watching this but it started poking at my curiosity and i finally decided to pop in it the DVD player. The effects in this movie are horrible and cheap. Some of the dialog in this movie sounds like it was written by a swear happy 12 year old boy. The acting is really cheesy in some parts, and the """"action"""" scenes are completely laughab",0,5,188
"Great book, poorly done movie. Cheesy performances and contrived situations make this movie a sentimental bore-fest. Flat and uninspired work from most of the actors leaves this film in the After School Special category. No doubt there is a lot of talent to be tapped in this cast and crew but something went horribly wrong The very talented Gretchen Mol attempts to pull this film out of the mire but even she can't seem to rise above the silly dialogue. Feels like everyone just",0,7,257
"The timing of this film being released could not be better, particularly in light of all the turmoil in this world today. The film is a heartwarming, endearing and witty a piece. If you have siblings and still have parents alive, this will hit home well for the viewer. If you've lost your parents, then it will touch you deeply. The laughs come frequently, the ensemble cast works very well together and are believable. This film is intelligently written and the lines that come ",1,9,271
"""I grew up watching the """"Bowery Boys"""" on the weekends and even at young an age I could tell this was low rent stuff as the name implies. Still it was fun to watch Satch (Hall) get the better of Muggs (Gorcey) after Muggs would beat the crap out him. The East Side Kids stuff were never shown even though it was public domain stuff and probably cheap to run, it was just to low a standard for kids to tune in even though we only had like 5 channels to watch. Enter the year 2005 ",0,10,324
"""Savage Steve Holland wrote and directed his second film, One Crazy Summer, with John Cusack and Curtis Armstrong again in a supporting role. Cusack and Bobcat Goldthwait are recent graduates headed to Cape Cod in order to stay at Goldthwait's grandmother's for the summer. Along the way, they bump into Demi Moore being pursued by John Matuszak and a motorcycle gang. Soon the three are united in trying to save a house from being turned into another lobster restaurant by a conn",0,11,334
"""THE MERCHANT OF FOUR SEASONS was Rainer Werner Fassbinder's first shot at mainstream acceptance. In a turbulent career of just fifteen years, he managed to create an astounding body of work in film and theater, both as a performer and a creative producer, actor, and director. Although this movie might not appeal to many viewers, the film has much to offer. The storyline is fairly straightforward. A man is ostracized from his upper middle class family due to emotional and eco",1,12,362
"Most awful casting I've ever seen. Clark Kent as a crack head, a very feminine looking woman as a trans and on and on.............<br /><br />Stupid ass violence just for the sake of being violent. No content, no meaning. This person has never been on the streets. It's a joke!<br /><br />The only thing dumber than this movie is the fact that I finished watching it. I just kept thinking it couldn't get any worse but it did to the very end.<br /><br />Trying way to hard to be a",0,13,387
"At the end of my review of Cache, I wrote that I was intrigued with Haneke as a film maker. This is what led me to get the DVD for La Pianiste, which I just finished watching about a half hour ago.<br /><br />It's all been expressed, here at IMDb and in many of the external reviews - the gruesomely twisted pathology that would 'create' an individual like Huppert's Erika, who is still trying, after years and years, to please her mother, at the expense of everyone and everythin",1,14,388
"""I do not fail to recognize Haneke's above-average film-making skills. For example, I appreciate his lingering on unremarkable-natural-day-lighted settings as a powerful way to force a strong sense of realism. However, regarding the content of this film, I am very sad to see that in the 21st century there is still an urge to pathologize domination-submission relations or feelings (and/or BDSM practices). The problem that the main character has with her mother is unbelievably ",0,15,428
"I tried to love this movie. I really did. Kevin Bacon plays a cerebral palsy victim who is befriended by a 10-year-old girl whose fantasies of digging to China, flying away in a balloon, and so on, are her way of coping with a dreary existence. I admit I did fast-forward through one of the scenes in which the two of them share friendship and simple pleasures while soulful piano music plays in the background. Okay, three or four of those type scenes. Maybe nine or ten. Okay, o",0,16,487
